Meaning,Kanji,Kana,Lesson,vocabulary_kanji,lesson_col,index
train,電車,でんしゃ,6,電車,8,148
to be absent (from...); to rest,休む,やすむ,6,休,8,149
car,車,くるま,7,車,8,150
office worker,会社員,かいしゃいん,8,会社員,8,151
job; work; occupation,仕事,しごと,8,仕事,8,152
something,何か,なにか,8,何,8,153
to say,言う,いう,8,言,8,154
to think,思う,おもう,8,思,8,155
to make,作る,つくる,8,作,8,156
essay; composition,作文,さくぶん,9,作文,8,157
Get well soon.,お大事に,おだいじに,12,大事,8,158
e-mail,電子メール,でんしメール,14,電子,8,159
honorific expression for ねる,お休みになる,おやすみになる,19,休,8,160
to be audible,聞こえる,きこえる,20,聞,8,161
things; matters,事,こと,21,事,8,162
memory,思い出,おもいで,23,思出,8,163
P.M.,午後,ごご,1,午後,9,164
A.M.,午前,ごぜん,1,午前,9,165
telephone,電話,でんわ,1,電話,9,166
name,名前,なまえ,1,名前,9,167
home; house,家,いえ,3,家,9,168
home; house; my place,家,うち,3,家,9,169
to speak; to talk,話す,はなす,3,話,9,170
to come,来る,くる,3,来,9,171
hour,〜時間,〜じかん,4,時間,9,172
one hour,一時間,いちじかん,4,一時間,9,173
to write,書く,かく,4,書,9,174
front,前,まえ,4,前,9,175
back,後ろ,うしろ,4,後,9,176
between,間,あいだ,4,間,9,177
old (thing - not used for people),古い,ふるい,5,古,9,178
to make a phone call,電話をかける,でんわをかける,6,電話,9,179
later on,後で,あとで,6,後,9,180
to get to know,知る,しる,7,知,9,181
I know,知っています,しっています,7,知,9,182
I do not know,知りません,しりません,7,知,9,183
rain,雨,あめ,8,雨,9,184
next month,来月,らいげつ,8,来月,9,185
white,白い,しろい,9,白,9,186
after (an event),後,あと,11,後,9,187
landlord,大家さん,おおやさん,14,大家,9,188
time,時間,じかん,14,時間,9,189
the other day,この間,このあいだ,16,間,9,190
a little; a few,少ない,すくない,17,少,9,191
before...,前,まえ,17,前,9,192
the rest,後,あと,18,後,9,193
chat; talk,話,はなし,19,話,9,194
to have a talk,話をする,はなしをする,19,話,9,195
a few seconds,少々,しょうしょう,20,少,9,196
while...,〜間に,〜あいだに,21,間,9,197
a little,少し,すこし,21,少,9,198
household matters,家事,かじ,22,家事,9,199
a little more,もう少し,もうすこし,22,少,9,200
the rain stops,雨がやむ,あめがやむ,23,雨,9,201
friend,友だち,ともだち,24,友,9,202
...year student,〜年生,〜ねんせい,1,年生,10,203
morning,朝,あさ,3,朝,10,204
town; city,町,まち,4,町,10,205
to buy,買う,かう,4,買,10,206
night,夜,よる,6,夜,10,207
next year,来年,らいねん,6,来年,10,208
to stand up,立つ,たつ,6,立,10,209
to carry; to hold,持つ,もつ,6,持,10,210
to bring (a thing),持ってくる,もってくる,6,持,10,211
long,長い,ながい,7,長,10,212
to live,住む,すむ,7,住,10,213
this morning,今朝,けさ,8,今朝,10,214
to take (something),持っていく,もっていく,8,持,10,215
rich person,お金持ち,おかねもち,10,金持,10,216
this year,今年,ことし,10,今年,10,217
New Year's,お正月,おしょうがつ,11,正月,10,218
president of a company,社長,しゃちょう,11,社長,10,219
snow,雪,ゆき,12,雪,10,220
to sell,売る,うる,15,売,10,221
way; road; directions,道,みち,16,道,10,222
(do something) oneself,自分で,じぶんで,16,自分,10,223
oneself,自分,じぶん,17,自分,10,224
every morning,毎朝,まいあさ,19,毎朝,10,225
graduate student,大学院生,だいがくいんせい,1,大学院生,11,226
movie,映画,えいが,3,映画,11,227
to study,勉強する,べんきょうする,3,勉強,11,228
letter,手紙,てがみ,4,手紙,11,229
hospital,病院,びょういん,4,病院,11,230
travel,旅行,りょこう,5,旅行,11,231
fond of; to like,好き,すき（な）,5,好,11,232
very fond of; to love,大好き,だいすき（な）,5,大好,11,233
song,歌,うた,7,歌,11,234
to sing,歌う,うたう,7,歌,11,235
place,所,ところ,8,所,11,236
skillful; good at...,上手,じょうず,8,上手,11,237
clumsy; poor at...,下手,へた,8,下手,11,238
famous,有名,ゆうめい,8,有名,11,239
illness; sickness,病気,びょうき,9,病気,11,240
celebrity,有名人,ゆうめいじん,10,有名人,11,241
singer,歌手,かしゅ,11,歌手,11,242
close; near,近い,ちかい,13,近,11,243
graduate school,大学院,だいがくいん,16,大学院,11,244
paper,紙,かみ,17,紙,11,245
travel agency,旅行会社,りょこうがいしゃ,17,旅行会社,11,246
strong,強い,つよい,17,強,11,247
bright,明るい,あかるい,18,明,11,248
to get up,起きる,おきる,3,起,12,249
early,早い,はやい,3,早,12,250
to use,使う,つかう,6,使,12,251
to bring (a person),連れてくる,つれてくる,6,連,12,252
fast,早い,はやい,7,早,12,253
color,色,いろ,9,色,12,254
near future,今度,こんど,9,今度,12,255
blue,青い,あおい,9,青,12,256
red,赤い,あかい,9,赤,12,257
(do something) early; fast,早く,はやく,10,早,12,258
to work,働く,はたらく,11,働,12,259
to break up; to separate,別れる,わかれる,12,別,12,260
to wake (someone) up,起こす,おこす,16,起,12,261
to take (someone) to (a place),連れていく,つれていく,16,連,12,262
baby,赤ちゃん,あかちゃん,21,赤,12,263
old days; past,昔,むかし,21,昔,12,264
many times,何度も,なんども,22,何度,12,265
cow,牛,うし,24,牛,12,266
