,Kana,Kanji,Meaning,Lesson,vocabulary_kanji
904,おくる,送る,to walk/drive (someone),19,送
905,おこる,怒る,to get angry,19,怒
907,おやすみになる,お休みになる,honorific expression for ねる,19,休
908,きまる,決まる,to be decided,19,決
909,くださる,下さる,honorific expression for くれる,19,下
910,ごらんになる,ご覧になる,honorific expression for みる,19,覧
911,しりあう,知り合う,to get aquainted with,19,知合
914,ひっこす,引っ越す,to move (to another place to live),19,引越
915,めしあがる,召し上がる,honorific expression for たべる and のむ,19,召上
916,よぶ,呼ぶ,to call (one's name); to invite,19,呼
917,よる,寄る,to stop by,19,寄
918,おくれる,遅れる,to become late,19,遅
920,はれる,晴れる,to become sunny,19,晴
922,えんりょする,遠慮する,to hold back for the time being; to refrain from,19,遠慮
924,ちゅういする,注意する,to watch out; to give warning,19,注意
925,はなしをする,話をする,to have a talk,19,話
928,ほんとうは,本当は,in fact; originally,19,本当
929,まいあさ,毎朝,every morning,19,毎朝
931,〜めいさま,〜名様,party of ... people,19,名様
933,よろしくおつたえください,よろしくお伝えください,Please give my best regards (to ...),19,伝
935,うちゅうじん,宇宙人,space alien,20,宇宙人
936,おと,音,sound,20,音
937,かかりのもの,係の者,our person in charge,20,係者
938,かど,角,corner,20,角
939,かみさま,神様,God,20,神様
940,くうこう,空港,airport,20,空港
941,じ,字,letter; character,20,字
942,してん,支店,branch office,20,支店
943,しゅみ,趣味,hobby; pastime,20,趣味
944,しょうせつ,小説,novel,20,小説
945,しんごう,信号,traffic light,20,信号
947,せんす,扇子,fan,20,扇子
948,つき,月,moon,20,月
951,おもい,重い,heavy; serious (illness),20,重
952,あるく,歩く,to walk,20,歩
953,いたす,致す,extra-modest expression for する,20,致
954,いただく,頂く,extra-modest expression for たべる and のむ,20,頂
955,いただく,頂く,humble expression for もらう,20,頂
956,うかがう,伺う,to humbly visit; to humbly ask,20,伺
961,まいる,参る,extra-modest expression for いく and くる,20,参
962,まがる,曲がる,to turn (right/left),20,曲
963,もうす,申す,extra-modest expression for いう,20,申
964,もどる,戻る,to return; to come back,20,戻
965,きこえる,聞こえる,to be audible,20,聞
966,さしあげる,差し上げる,humble expression for あげる,20,差上
967,つたえる,伝える,to convey (message),20,伝
968,またせる,待たせる,to keep (someone) waiting,20,待
969,こうかんする,交換する,to exchange,20,交換
970,せいかつする,生活する,to lead a life,20,生活
971,へんぴんする,返品する,to return (merchandise),20,返品
973,〜かい,〜階,...th floor,20,階
976,しつれいしました,失礼しました,I'm very sorry,20,失礼
977,しょうしょう,少々,a few seconds,20,少
980,まことに,誠に,really (very polite),20,誠
982,もうしわけありません,申し訳ありません,You have my apologies.,20,申訳
984,あかちゃん,赤ちゃん,baby,21,赤
985,か,蚊,mosquito,21,蚊
986,かいぎ,会議,business meeting; conference,21,会議
988,かんきょう,環境,environment,21,環境
989,けいさつ,警察,police; police station,21,警察
990,こうじょう,工場,factory,21,工場
991,こと,事,things; matters,21,事
992,しゅうでん,終電,last train,21,終電
994,せいふ,政府,government,21,政府
996,どろぼう,泥棒,burgular,21,泥棒
998,はんにん,犯人,criminal,21,犯人
1000,むかし,昔,old days; past,21,昔
1001,もんく,文句,complaint,21,文句
1002,もんくをいう,文句を言う,to complain,21,文句言
1003,るす,留守,absence; not at home,21,留守
1004,とおい,遠い,far (away),21,遠
1006,あんぜん,安全,safe,21,安全
1007,たいせつ,大切,precious; valuable,21,大切
1009,おく,置く,to put; to lay; to place,21,置
1010,きがつく,気が付く,to notice,21,気付
1012,さす,刺す,to sting; to bite (bug); to stab,21,刺
1013,さわる,触る,to touch,21,触
1014,つかまる,捕まる,to be arrested; to be caught,21,捕
1015,つつむ,包む,to wrap; to cover,21,包
1016,なぐる,殴る,to strike; to hit; to punch,21,殴
1017,ぬすむ,盗む,to steal; to rob,21,盗
1018,はる,貼る,to post,21,貼
1019,ふむ,踏む,to step on,21,踏
1021,やく,焼く,to bake,21,焼
1024,きがえる,着替える,to change clothes,21,着替
1028,まちがえる,間違える,to make a mistake,21,間違
1029,みつける,見つける,to find,21,見
1030,じゅんびする,準備する,to prepare,21,準備
1033,ひるねをする,昼寝をする,to take a nap,21,昼寝
1034,れんらくする,連絡する,to contact,21,連絡
1035,〜あいだに,〜間に,while...,21,間
1037,すこし,少し,a little,21,少
1039,どうりょう,同僚,colleague,21,同僚
1040,あいて,相手,partner,22,相手
1041,うけつけ,受付,reception desk,22,受付
1042,えいかいわ,英会話,English conversation,22,英会話
1043,おじょうさん,お嬢さん,(someone's) daughter (polite),22,嬢
1044,かじ,家事,household matters,22,家事
1045,かぜ,風,wind,22,風
1046,き,木,tree,22,木
1047,きまつしけん,期末試験,final examination,22,期末試験
1048,こうはい,後輩,junior members of a group,22,後輩
1049,さる,猿,monkey,22,猿
1050,じゆう,自由,freedom,22,自由
1051,じゅく,塾,cram school,22,塾
1052,しょるい,書類,document,22,書類
1053,せんぱい,先輩,senior members of a group,22,先輩
1054,ひとりぐらし,一人暮らし,living alone,22,一人暮
1055,ぶか,部下,subordinate,22,部下
1056,ふくしゅう,復習,review of lessons,22,復習
1059,むだづかい,無駄遣い,waste (money),22,無駄遣
1060,めんきょ,免許,license,22,免許
1061,よしゅう,予習,preparation of lessons,22,予習
1063,しんぱい,心配,worried about,22,心配
1064,びんぼう,貧乏,poor,22,貧乏
1066,へん,変,strange; unusual,22,変
1067,らく,楽,easy; comfortable,22,楽
1068,かつ,勝つ,to win,22,勝
1069,コピーをとる,コピーを取る,to make a photocopy,22,取
1070,はこぶ,運ぶ,to carry from one place to another; transport,22,運
1071,はしる,走る,to run,22,走
1072,ひろう,拾う,to pick up (something),22,拾
1073,ふく,吹く,to blow,22,吹
1074,ほうっておく,放っておく,to leave (someone/something) alone; to neglect,22,放
1075,まにあう,間に合う,to be in time for,22,間合
1076,むかえにいく,迎えに行く,to go to pick up (someone),22,迎行
1077,けいかくをたてる,計画を立てる,to make a plan,22,計画立
1078,そだてる,育てる,to raise; to bring up,22,育
1079,たすける,助ける,to help; to rescue,22,助
1080,まける,負ける,to lose (a match),22,負
1081,おねがいする,お願いする,to pray for help,22,願
1082,さんせいする,賛成する,to agree,22,賛成
1083,しっぱいする,失敗する,to fail; to be unsuccessful,22,失敗
1084,てつやする,徹夜する,to stay up all night,22,徹夜
1085,はんたいする,反対する,to oppose; to object to,22,反対
1086,ほんやくする,翻訳する,to translate,22,翻訳
1089,ぜったいに,絶対に,definitely,22,絶対
1092,なんども,何度も,many times,22,何度
1094,もうすこし,もう少し,a little more,22,少
1095,おもいで,思い出,memory,23,思出
1096,かいがいりょこう,海外旅行,trip to a foreign country,23,海外旅行
1097,からだ,体,body,23,体
1098,くつした,靴下,socks,23,靴下
1099,こくさいでんわ,国際電話,international call,23,国際電話
1100,じゅぎょうりょう,授業料,tuition,23,授業料
1101,しょうがっこう,小学校,elementary school,23,小学校
1102,せんきょ,選挙,election,23,選挙
1105,ばしょ,場所,place,23,場所
1106,べっそう,別荘,villa; vacation home,23,別荘
1108,ぼんおどり,盆踊り,Bon dance (Japanese traditional dance),23,盆踊
1109,めんせつ,面接,interview,23,面接
1110,ゆうしょく,夕食,dinner,23,夕食
1111,りそう,理想,ideal,23,理想
1112,るすばん,留守番,looking after a house during one's absence,23,留守番
1114,あめがやむ,雨がやむ,the rain stops,23,雨
1116,おせわになる,お世話になる,to be in someone's care,23,世話
1118,ちがう,違う,to be different; wrong,23,違
1120,わるぐちをいう,悪口を言う,to talk behind someone's back,23,悪口言
1121,うける,受ける,"to take (an examination, interview, etc.)",23,受
1122,かえる,換える,to change,23,換
1123,はなれる,離れる,(something/someone) separates; parts from,23,離
1124,〜かおをする,〜顔をする,to look ...(facial expression),23,顔
1126,がまんする,我慢する,to be tolerant/patient,23,我慢
1127,せわをする,世話をする,to take care of ...,23,世話
1128,どうじょうする,同情する,to sympathize,23,同情
1130,もどってくる,戻ってくる,(something/someone) comes back,23,戻
1131,ゆうしょうする,優勝する,to win a championship,23,優勝
1133,げんきでね,元気でね,Take care of yourself.,23,元気
