,Kana,Kanji,Meaning,Lesson,vocabulary_kanji
240,あつい,暑い,hot (weather),5,暑
241,あつい,熱い,hot (objects),5,熱
242,いそがしい,忙しい,busy (people/days),5,忙
243,おおきい,大きい,large,5,大
244,おもしろい,面白い,interesting,5,面白
245,こわい,怖い,frightening,5,怖
246,さむい,寒い,cold (weather-not used for objects),5,寒
247,たのしい,楽しい,fun,5,楽
248,ちいさい,小さい,small,5,小
250,ふるい,古い,old (thing - not used for people),5,古
251,むずかしい,難しい,difficult,5,難
253,やすい,安い,inexpensive; cheap (thing),5,安
254,きらい（な）,嫌い,disgusted with; to dislike,5,嫌
256,げんき（な）,元気,healthy; energetic,5,元気
257,しずか（な）,静か,quiet,5,静
258,すき（な）,好き,fond of; to like,5,好
259,だいきらい（な）,大嫌い,to hate,5,大嫌
260,だいすき（な）,大好き,very fond of; to love,5,大好
263,ひま（な）,暇,not busy; to have a lot of free time,5,暇
264,およぐ,泳ぐ,to swim,5,泳
265,きく,聞く,to ask,5,聞
266,のる,乗る,to ride; to board,5,乗
268,でかける,出かける,to go out,5,出
269,いっしょに,一緒に,together,5,一緒
271,だいじょうぶ,大丈夫,It's okay.; Not to worry.; Everything is under control.,5,大丈夫
274,〜まい,〜枚,[counter for flat objects],5,枚
276,おかね,お金,money,6,金
278,おふろ,お風呂,bath,6,風呂
279,かんじ,漢字,kanji; Chinese character,6,漢字
280,きょうかしょ,教科書,textbook,6,教科書
281,こんしゅう,今週,this week,6,今週
282,しみんびょういん,市民病院,Municipal Hospital,6,市民病院
283,つぎ,次,next,6,次
285,でんき,電気,electricity,6,電気
286,でんしゃ,電車,train,6,電車
287,にもつ,荷物,baggage,6,荷物
289,まど,窓,window,6,窓
290,よる,夜,night,6,夜
291,らいしゅう,来週,next week,6,来週
292,らいねん,来年,next year,6,来年
293,たいへん（な）,大変,tough (situation),6,大変
294,あそぶ,遊ぶ,to play; to spend time pleasantly,6,遊
295,いそぐ,急ぐ,to hurry,6,急
296,おふろにはいる,お風呂に入る,to take a bath,6,風呂入
297,かえす,返す,to return (things),6,返
298,けす,消す,to turn off; to erase,6,消
299,しぬ,死ぬ,to die,6,死
300,すわる,座る,to sit down,6,座
301,たつ,立つ,to stand up,6,立
302,たばこをすう,たばこを吸う,to smoke,6,吸
303,つかう,使う,to use,6,使
304,てつだう,手伝う,to help,6,手伝
305,はいる,入る,to enter,6,入
306,もつ,持つ,to carry; to hold,6,持
307,やすむ,休む,to be absent (from...); to rest,6,休
308,あける,開ける,to open (something),6,開
309,おしえる,教える,to teach; to instruct,6,教
310,おりる,降りる,to get off,6,降
311,かりる,借りる,to borrow,6,借
312,しめる,閉める,to close (something),6,閉
314,でんわをかける,電話をかける,to make a phone call,6,電話
315,わすれる,忘れる,to forget; to leave behind,6,忘
316,つれてくる,連れてくる,to bring (a person),6,連
317,もってくる,持ってくる,to bring (a thing),6,持
318,あとで,後で,later on,6,後
319,おそく,遅く,(do something) late,6,遅
321,けっこうです,結構です,That would be fine.; That wouldn't be necessary.,6,結構
323,ほんとうですか,本当ですか,Really?,6,本当
325,あね,姉,(my) older sister,7,姉
327,いもうと,妹,younger sister,7,妹
328,うた,歌,song,7,歌
329,おとうと,弟,younger brother,7,弟
330,おとこのひと,男の人,man,7,男人
331,おにいさん,お兄さん,older brother,7,兄
332,おねえさん,お姉さん,older sister,7,姉
333,おんなのひと,女の人,woman,7,女人
334,かいしゃ,会社,company,7,会社
335,かぞく,家族,family,7,家族
336,かみ,髪,hair,7,髪
337,きょうだい,兄弟,brothers and sisters,7,兄弟
338,くに,国,country; place of origin,7,国
339,くるま,車,car,7,車
341,しょくどう,食堂,cafeteria; dining commons,7,食堂
342,ちち,父,(my) father,7,父
344,め,目,eye,7,目
345,めがね,眼鏡,glasses,7,眼鏡
346,あたまがいい,頭がいい,bright; smart; clever,7,頭
349,せがたかい,背が高い,tall,7,背高
350,せがひくい,背が低い,short (stature),7,背低
351,ながい,長い,long,7,長
352,はやい,早い,fast,7,早
353,みじかい,短い,short (length),7,短
354,しんせつ,親切,kind,7,親切
355,べんり,便利,convenient,7,便利
356,うたう,歌う,to sing,7,歌
358,しる,知る,to get to know,7,知
359,しっています,知っています,I know,7,知
360,しりません,知りません,I do not know,7,知
361,すむ,住む,to live,7,住
363,ふとる,太る,to gain weight,7,太
364,ふとっています,太っています,to be on the heavy side,7,太
366,きる,着る,to put on (clothes above your waist),7,着
369,けっこんする,結婚する,to get married,7,結婚
371,ひとり,一人,one person,7,一人
372,ふたり,二人,two people,7,二人
375,ざんねんですね,残念ですね,That's too bad.,8,残念
377,あめ,雨,rain,8,雨
378,かいしゃいん,会社員,office worker,8,会社員
381,くうき,空気,air,8,空気
382,けさ,今朝,this morning,8,今朝
383,こんげつ,今月,this month,8,今月
384,しごと,仕事,job; work; occupation,8,仕事
385,だいがくせい,大学生,college student,8,大学生
387,てんきよほう,天気予報,weather forecast,8,天気予報
388,ところ,所,place,8,所
390,なつ,夏,summer,8,夏
391,なにか,何か,something,8,何
395,ふゆ,冬,winter,8,冬
397,まいしゅう,毎週,every week,8,毎週
398,らいげつ,来月,next month,8,来月
399,じょうず,上手,skillful; good at...,8,上手
400,へた,下手,clumsy; poor at...,8,下手
401,ゆうめい,有名,famous,8,有名
402,あめがふる,雨が降る,it rains,8,雨降
403,あらう,洗う,to wash,8,洗
404,いう,言う,to say,8,言
406,おそくなる,遅くなる,to be late (for ...),8,遅
407,おもう,思う,to think,8,思
408,きる,切る,to cut,8,切
409,つくる,作る,to make,8,作
410,もっていく,持っていく,to take (something),8,持
411,じろじろみる,じろじろ見る,to stare (at ...),8,見
412,はじめる,始める,to begin,8,始
413,うんてんする,運転する,to drive,8,運転
414,せんたくする,洗濯する,to do laundry,8,洗濯
415,そうじする,掃除する,to clean,8,掃除
416,りょうりする,料理する,to cook,8,料理
419,かんぱい,乾杯,Cheers! (a toast),8,乾杯
421,いいこ,いい子,good child,9,子
422,いろ,色,color,9,色
423,おべんとう,お弁当,boxed lunch,9,弁当
424,おんせん,温泉,spa; hot spring,9,温泉
427,くすり,薬,medicine,9,薬
428,くすりをのむ,薬を飲む,to take medicine,9,薬飲
430,こんど,今度,near future,9,今度
431,さくぶん,作文,essay; composition,9,作文
432,しけん,試験,exam,9,試験
433,しんかんせん,新幹線,Shinkansen; ,9,新幹線
435,せんげつ,先月,last month,9,先月
436,たんご,単語,word; vocabulary,9,単語
438,びょうき,病気,illness; sickness,9,病気
439,あおい,青い,blue,9,青
440,あかい,赤い,red,9,赤
441,くろい,黒い,black,9,黒
442,さびしい,寂しい,lonely,9,寂
443,しろい,白い,white,9,白
444,わかい,若い,young,9,若
445,いじわる,意地悪,mean-spirited,9,意地悪
446,おどる,踊る,to dance,9,踊
447,おわる,終わる,(something) ends,9,終
448,にんきがある,人気がある,to be popular,9,人気
449,はじまる,始まる,(something) begins,9,始
450,ひく,弾く,to play (a string instrument or piano),9,弾
452,おぼえる,覚える,to memorize,9,覚
453,でる,出る,(1) to appear; to attend (2) to exit,9,出
454,うんどうする,運動する,to do physical exercises,9,運動
455,さんぽする,散歩する,to take a walk,9,散歩
456,ぜひ,是非,by all means,9,是非
459,ひとつ,一つ,one,9,一
460,ふたつ,二つ,two,9,二
461,みっつ,三つ,three,9,三
462,よっつ,四つ,four,9,四
463,いつつ,五つ,five,9,五
464,むっつ,六つ,six,9,六
465,ななつ,七つ,seven,9,七
466,やっつ,八つ,eight,9,八
467,ここのつ,九つ,nine,9,九
468,とお,十,ten,9,十
469,あき,秋,fall,10,秋
470,えき,駅,station,10,駅
471,おかねもち,お金持ち,rich person,10,金持
472,かお,顔,face,10,顔
473,きせつ,季節,season,10,季節
475,ことし,今年,this year,10,今年
478,せいかつ,生活,life; living,10,生活
479,せかい,世界,world,10,世界
480,ちかてつ,地下鉄,subway,10,地下鉄
481,てぶくろ,手袋,gloves,10,手袋
482,とこや,床屋,barber's,10,床屋
483,はる,春,spring,10,春
485,びよういん,美容院,beauty parlor,10,美容院
486,びん,便,flight,10,便
487,ふね,船,ship; boat,10,船
488,やきゅう,野球,baseball,10,野球
489,ゆうめいじん,有名人,celebrity,10,有名人
490,よやく,予約,reservation,10,予約
491,らいがっき,来学期,next semester,10,来学期
493,あたたかい,暖かい,warm,10,暖
494,おそい,遅い,slow; late,10,遅
495,すずしい,涼しい,cool (weather),10,涼
496,つめたい,冷たい,cold (thing/people),10,冷
497,ねむい,眠い,sleepy,10,眠
498,かんたん,簡単,easy; simple,10,簡単
500,とまる,泊まる,"to stay (at a hotel, etc.)",10,泊
502,はらう,払う,to pay,10,払
503,きめる,決める,to decide,10,決
504,れんしゅうする,練習する,to practice,10,練習
505,あるいて,歩いて,on foot,10,歩
506,いちばん,一番,best,10,一番
511,はやく,早く,(do something) early; fast,10,早
512,おかし,お菓子,snack; sweets,11,菓子
513,おしょうがつ,お正月,New Year's,11,正月
514,おとこのこ,男の子,boy,11,男子
516,おんなのこ,女の子,girl,11,女子
517,がいこく,外国,foreign country,11,外国
518,かしゅ,歌手,singer,11,歌手
521,こんがっき,今学期,this semester,11,今学期
522,しゃちょう,社長,president of a company,11,社長
523,じゅぎょう,授業,class,11,授業
524,しょうらい,将来,future,11,将来
527,びじゅつかん,美術館,art museum,11,美術館
529,みずうみ,湖,lake,11,湖
530,やま,山,mountain,11,山
531,ゆめ,夢,dream,11,夢
535,かう,飼う,to own (a pet),11,飼
537,とる,取る,to take (a class); to get (a grade),11,取
538,ならう,習う,to learn,11,習
539,のぼる,登る,to climb,11,登
540,はたらく,働く,to work,11,働
541,つかれる,疲れる,to get tired,11,疲
544,しょうかいする,紹介する,to introduce,11,紹介
546,ちこくする,遅刻する,to be late (for an appointment),11,遅刻
547,りゅうがくする,留学する,to study abroad,11,留学
548,あと,後,after (an event),11,後
549,しゅっしん,出身,coming from,11,出身
552,ひさしぶり,久しぶり,it has been a long time,11,久
555,あし,足,leg; foot,12,足
556,いみ,意味,meaning,12,意味
558,かぜ,風,cold,12,風
559,かのじょ,彼女,girlfriend,12,彼女
560,かれ,彼,boyfriend,12,彼
561,きおん,気温,temperature (weather),12,気温
562,くもり,曇り,cloudy weather,12,曇
563,しあい,試合,match; game,12,試合
565,せいせき,成績,"grade (on a test, etc.)",12,成績
566,せき,咳,cough,12,咳
568,は,歯,tooth,12,歯
569,はな,花,flower,12,花
570,はれ,晴れ,sunny weather,12,晴
571,ふく,服,clothes,12,服
572,ふつかよい,二日酔い,hangover,12,二日酔
575,もの,物,thing (concrete object),12,物
576,ゆき,雪,snow,12,雪
577,ようじ,用事,business to take care of,12,用事
578,あまい,甘い,sweet,12,甘
579,いたい,痛い,hurt; painful,12,痛
580,おおい,多い,there are many...,12,多
581,せまい,狭い,narrow; not spacious,12,狭
582,つごうがわるい,都合が悪い,inconvenient; to have a scheduling conflict,12,都合悪
583,わるい,悪い,bad,12,悪
584,すてき,素敵,fantastic,12,素敵
585,かぜをひく,風邪をひく,to catch a cold,12,風邪
586,きょうみがある,興味がある,to be interested (in ...),12,興味
588,のどがかわく,のどが渇く,to become thirsty,12,渇
589,ねつがある,熱がある,to have a fever,12,熱
590,せきがでる,せきが出る,to cough,12,出
591,わかれる,別れる,to break up; to separate,12,別
592,きんちょうする,緊張する,to get nervous,12,緊張
593,しんぱいする,心配する,to worry,12,心配
595,おだいじに,お大事に,Get well soon.,12,大事
596,げんきがない,元気がない,don't look well,12,元気
597,たぶん,多分,probably; maybe,12,多分
599,にさんにち,二三日,for two to three days,12,二三日
600,はじめて,初めて,for the first time,12,初
604,おとな,大人,adult,13,大人
605,がいこくご,外国語,foreign language,13,外国語
606,がっき,楽器,musical instrument,13,楽器
607,からて,空手,karate,13,空手
609,きもの,着物,kimono; Japanese traditional dress,13,着物
611,こうこく,広告,advertisement,13,広告
612,こうちゃ,紅茶,tea (black tea),13,紅茶
613,ことば,言葉,language,13,言葉
616,ぞう,象,elephant,13,象
619,ぶっか,物価,(consumer) prices,13,物価
620,ぶんぽう,文法,grammar,13,文法
621,べんごし,弁護士,lawyer,13,弁護士
622,ぼしゅう,募集,recruitment,13,募集
623,みせ,店,shop; store,13,店
625,やくそく,約束,promise; appointment,13,約束
627,わたくし,私,I (formal),13,私
629,かなしい,悲しい,sad,13,悲
630,からい,辛い,hot and spicy; salty,13,辛
631,きびしい,厳しい,strict,13,厳
632,ちかい,近い,close; near,13,近
634,しあわせ,幸せ,happy (lasting happiness),13,幸
636,あむ,編む,to knit,13,編
637,かす,貸す,to lend; to rent,13,貸
638,がんばる,頑張る,to do one's best; to try hard,13,頑張
639,なく,泣く,to cry,13,泣
640,みがく,磨く,to brush (teeth); to polish,13,磨
641,やくそくをまもる,約束を守る,to keep a promise,13,約束守
642,かんどうする,感動する,to be moved/touched (by ...),13,感動
644,じつは,実は,"as a matter of fact, ...",13,実
645,ぜんぶ,全部,all,13,全部
646,いちにち,一日,one day,13,一日
647,ふつか,二日,two days,13,二日
648,みっか,三日,three days,13,三日
649,よっか,四日,four days,13,四日
650,いつか,五日,five days,13,五日
651,むいか,六日,six days,13,六日
652,なのか,七日,seven days,13,七日
653,ようか,八日,eight days,13,八日
654,ここのか,九日,nine days,13,九日
655,とおか,十日,ten days,13,十日
656,よろしくおねがいします,よろしくお願いします,Thank you (in advance),13,願
658,あに,兄,(my) older brother,14,兄
659,おおやさん,大家さん,landlord,14,大家
660,おかえし,お返し,return (as a token of gratitude),14,返
661,おくさん,奥さん,(your/his) wife,14,奥
668,さら,皿,plate; dish,14,皿
669,じかん,時間,time,14,時間
671,でんしメール,電子メール,e-mail,14,電子
673,はは,母,(my) mother,14,母
676,ふうふ,夫婦,married couple; husband and wife,14,夫婦
679,まんが,漫画,comic book,14,漫画
682,ゆびわ,指輪,ring,14,指輪
683,りょうしん,両親,parents,14,両親
684,りれきしょ,履歴書,resume,14,履歴書
685,ほしい,欲しい,to want,14,欲
687,おくる,送る,to send,14,送
688,にあう,似合う,to look good (on somebody),14,似合
693,そうだんする,相談する,to consult,14,相談
695,おなじ,同じ,same,14,同
696,きょねん,去年,last year,14,去年
697,わたしたち,私たち,we,14,私
700,こ,個,[generic counter for smaller items],14,個
701,さつ,冊,[counter for bound volumes],14,冊
702,だい,台,[counter for equipment],14,台
703,ひき,匹,[counter for smaller animals],14,匹
704,ぽん,本,[counter for long objects],14,本
705,え,絵,painting; picture; drawing,15,絵
706,えいがかん,映画館,movie theater,15,映画館
